,BA,BA,BA,BA,BA,BA,UNP,UNP,UNP,UNP,UNP,UNP,TRI,TRI,TRI,TRI,TRI,TRI,HON,HON,HON,HON,HON,HON,DAL,DAL,DAL,DAL,DAL,DAL
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-10,335.55999755859375,337.70001220703125,329.45001220703125,329.9200134277344,327.96868896484375,7161700,179.10000610351562,179.92999267578125,177.82000732421875,177.94000244140625,176.89866638183594,2944300,75.55999755859375,75.72000122070312,75.05000305175781,75.05999755859375,74.69590759277344,335000,179.89999389648438,179.89999389648438,178.13999938964844,178.67999267578125,177.71807861328125,1671700,59.25,59.4900016784668,58.619998931884766,59.2400016784668,58.83393859863281,8279700
2020-01-13,332.3999938964844,334.1000061035156,330.0799865722656,330.2200012207031,328.26690673828125,5648500,177.99000549316406,179.99000549316406,177.63999938964844,179.89999389648438,178.84718322753906,2035200,75.20999908447266,76.20999908447266,74.88999938964844,76.19000244140625,75.8204345703125,397900,179.25,181.33999633789062,178.69000244140625,181.27000427246094,180.2941436767578,2261900,59.029998779296875,59.70000076293945,59.029998779296875,59.4900016784668,59.08222579956055,8414200
2020-01-14,330.760009765625,335.3500061035156,328.2799987792969,332.3500061035156,330.3843078613281,6945300,180.5,182.72999572753906,180.14999389648438,180.8000030517578,179.74192810058594,2805900,76.08999633789062,76.91000366210938,75.94000244140625,76.63999938964844,76.26824951171875,970400,180.49000549316406,181.22000122070312,179.50999450683594,180.4499969482422,179.4785614013672,2191200,62.040000915527344,62.25,60.86000061035156,61.45000076293945,61.02878952026367,16454100
2020-01-15,332.3500061035156,333.1099853515625,329.69000244140625,329.79998779296875,327.8493957519531,4578300,181.6300048828125,182.4199981689453,180.6300048828125,180.8000030517578,179.74192810058594,3450700,76.75,77.62999725341797,76.70999908447266,77.37000274658203,76.99471282958984,673500,181.2899932861328,182.44000244140625,179.85000610351562,180.72999572753906,179.75704956054688,2600800,61.540000915527344,61.939998626708984,61.029998779296875,61.619998931884766,61.19762420654297,7953400
2020-01-16,331.04998779296875,332.8699951171875,329.30999755859375,332.0,330.036376953125,4024100,181.55999755859375,184.1699981689453,180.91000366210938,183.89999389648438,182.8237762451172,3227400,77.94999694824219,78.69999694824219,77.5199966430664,78.63999938964844,78.258544921875,804200,181.5,182.49000549316406,180.7899932861328,182.25999450683594,181.27880859375,2215400,62.060001373291016,62.47999954223633,61.630001068115234,61.880001068115234,61.455841064453125,4950300
2020-01-17,332.3900146484375,332.5,323.0,324.1499938964844,322.2328186035156,11061700,183.67999267578125,185.64999389648438,183.0,185.32000732421875,184.23548889160156,4008600,78.51000213623047,79.04000091552734,78.37000274658203,78.95999908447266,78.57699584960938,390600,182.86000061035156,184.05999755859375,182.52999877929688,183.22999572753906,182.24359130859375,2608000,62.130001068115234,62.47999954223633,61.869998931884766,62.029998779296875,61.60481262207031,5770000
2020-01-21,322.6000061035156,326.6000061035156,305.75,313.3699951171875,311.5165710449219,19318000,184.16000366210938,184.52999877929688,181.1199951171875,182.4600067138672,181.39222717285156,3440900,79.02999877929688,79.05999755859375,78.5,78.87999725341797,78.49738311767578,396000,183.0399932861328,183.3000030517578,180.47000122070312,180.92999267578125,179.95596313476562,2188600,61.25,61.61000061035156,58.43000030517578,60.34000015258789,59.92639923095703,16592000
2020-01-22,309.82000732421875,312.8399963378906,302.7200012207031,309.0,307.17242431640625,18792600,183.27000427246094,183.41000366210938,180.44000244140625,180.92999267578125,179.87115478515625,2993900,79.0,79.54000091552734,78.6500015258789,78.79000091552734,78.40782165527344,442100,181.55999755859375,181.8800048828125,179.80999755859375,180.0500030517578,179.08071899414062,1881700,60.630001068115234,60.720001220703125,59.560001373291016,59.63999938964844,59.23119354248047,7096400
2020-01-23,308.5,318.1700134277344,307.70001220703125,317.7900085449219,315.9104309082031,9702100,183.5,187.67999267578125,180.92999267578125,187.19000244140625,186.09454345703125,4950500,78.69000244140625,79.23999786376953,78.33000183105469,78.7699966430664,78.3879165649414,612600,179.80999755859375,180.5399932861328,179.02999877929688,179.5800018310547,178.61325073242188,2434000,59.189998626708984,60.380001068115234,58.189998626708984,60.27000045776367,59.856876373291016,7774500
2020-01-24,322.0,326.20001220703125,312.510009765625,323.04998779296875,321.1393127441406,17798200,186.13999938964844,188.9600067138672,184.52999877929688,185.67999267578125,184.59336853027344,2734000,79.08999633789062,79.43000030517578,78.87000274658203,79.1500015258789,78.76607513427734,883900,179.9199981689453,180.25999450683594,176.49000549316406,177.1300048828125,176.1764373779297,2737000,60.099998474121094,60.209999084472656,57.84000015258789,58.810001373291016,58.40688705444336,10989500
